epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2678.65,1.66863,2.56046,1.22708,1.29371,0.72243,0.38462,0.40357,0.16269,0.6427,0.33609,0.34586,0.13115,2.24736,4.02983,1.88899,1.56355,0.00517375,0.00517375,0.00517375
41,2734.45,1.61679,2.45477,1.15909,1.27362,0.66548,0.53846,0.53837,0.24521,0.71409,0.41758,0.46076,0.17741,2.10622,3.64464,1.6197,1.50956,0.00505,0.00505,0.00505
42,2789.36,1.63488,2.47181,1.14979,1.28762,0.75509,0.46154,0.51292,0.23236,0.65617,0.45055,0.49233,0.16943,2.06612,3.53695,1.59293,1.49424,0.00492625,0.00492625,0.00492625
43,2847.57,1.66055,2.43879,1.11657,1.27068,0.54012,0.41758,0.43537,0.20429,0.53662,0.41758,0.42258,0.14241,2.12083,3.70517,1.66554,1.55835,0.0048025,0.0048025,0.0048025
44,2905.18,1.59941,2.40388,1.11058,1.25055,0.58079,0.54945,0.50385,0.22084,0.54284,0.50892,0.44891,0.16277,1.98404,3.59691,1.51874,1.51745,0.00467875,0.00467875,0.00467875
45,2960.9,1.57588,2.40494,1.11137,1.24502,0.63007,0.54282,0.51002,0.21926,0.56246,0.51648,0.45467,0.16113,2.04397,3.77917,1.53223,1.50987,0.004555,0.004555,0.004555
46,3019.67,1.55151,2.33669,1.05996,1.23364,0.54394,0.50549,0.44371,0.21357,0.53127,0.50549,0.44518,0.15634,2.09114,3.81783,1.67189,1.52397,0.00443125,0.00443125,0.00443125
47,3074.75,1.57444,2.3626,1.02799,1.23325,0.60239,0.4662,0.45175,0.19604,0.54903,0.42812,0.40267,0.15426,2.14821,3.98071,1.7222,1.56294,0.0043075,0.0043075,0.0043075
48,3133.95,1.53505,2.29507,1.01207,1.22242,0.77097,0.54945,0.56832,0.21988,0.72614,0.51648,0.5191,0.17791,2.00564,3.85753,1.50499,1.47767,0.00418375,0.00418375,0.00418375
49,3189.92,1.5352,2.29465,0.99974,1.19866,0.65646,0.50549,0.51712,0.20269,0.68497,0.45055,0.46064,0.1595,2.24492,4.20527,1.65403,1.56512,0.00406,0.00406,0.00406
50,3249.9,1.53004,2.27344,1.02441,1.20467,0.64834,0.50549,0.51016,0.19486,0.58829,0.48681,0.45415,0.15851,2.15963,4.02892,1.71066,1.59974,0.00393625,0.00393625,0.00393625
51,3305.77,1.49315,2.196,0.9765,1.19262,0.61266,0.46154,0.43199,0.17783,0.59528,0.45055,0.41101,0.13863,2.11339,3.89915,1.66136,1.5996,0.0038125,0.0038125,0.0038125
52,3362.33,1.50315,2.23956,0.94461,1.17548,0.66343,0.43326,0.44521,0.19006,0.62448,0.45055,0.41819,0.13978,2.14176,3.88896,1.66032,1.54906,0.00368875,0.00368875,0.00368875
53,3419.93,1.46195,2.2132,0.95149,1.16977,0.69678,0.49451,0.51052,0.22306,0.59867,0.49451,0.43556,0.17154,2.04946,3.7381,1.52031,1.54062,0.003565,0.003565,0.003565
54,3478.06,1.44646,2.18537,0.92414,1.15137,0.75316,0.5365,0.5745,0.24069,0.62864,0.51648,0.4974,0.187,1.95137,3.67962,1.47817,1.50005,0.00344125,0.00344125,0.00344125
55,3536.81,1.45529,2.19289,0.94589,1.16415,0.7002,0.48768,0.5516,0.21156,0.67845,0.43956,0.48134,0.17168,2.11821,3.90777,1.52945,1.5569,0.0033175,0.0033175,0.0033175
56,3593.79,1.46091,2.1218,0.90154,1.16593,0.55288,0.52747,0.47932,0.21595,0.62387,0.48352,0.44801,0.15952,1.98839,3.89135,1.64246,1.4684,0.00319375,0.00319375,0.00319375
57,3652.17,1.40846,2.12268,0.89238,1.13973,0.65463,0.48352,0.50414,0.21552,0.64946,0.44795,0.46006,0.15188,2.09355,4.20931,1.68302,1.4873,0.00307,0.00307,0.00307
58,3706.97,1.40103,2.13933,0.87218,1.12835,0.65934,0.48923,0.52322,0.21966,0.7012,0.43843,0.45178,0.16671,2.01878,3.99645,1.6395,1.48198,0.00294625,0.00294625,0.00294625
59,3760.54,1.38844,2.04716,0.84741,1.12072,0.68704,0.50663,0.51923,0.22411,0.7092,0.45055,0.4719,0.17315,2.01701,4.02504,1.5456,1.51199,0.0028225,0.0028225,0.0028225
